,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
CARS,942.288275664242,0.6562684434158251,0.12784694928369647,5.133235068124656,2.8480383001959196e-07,2.7095972331532835e-05,True
FNDC3B,2399.2035331080638,0.944311933029201,0.18406910258848413,5.130203384216856,2.8942929087151213e-07,2.722112214295844e-05,True
ITGA2,2263.9265585964463,1.3861990252765228,0.2702199398846017,5.129891694404579,2.8990892996468335e-07,2.722112214295844e-05,True
PTPRE,141.38479919249622,1.044882235978556,0.20396158455416188,5.122936450324978,3.008137561285614e-07,2.8061626107421518e-05,True
BACH1,424.7080847943106,0.8959613427993329,0.1749588172229927,5.12098422371815,3.03945077053722e-07,2.8170806302927552e-05,True
ARHGEF39,200.0253140272804,-0.6913786256520915,0.13509206953911476,-5.117832808475176,3.090663831057897e-07,2.8461843972421637e-05,True
ALDH16A1,504.83888234804505,-1.2885190129571287,0.2526271155922871,-5.100477872045451,3.387969903947964e-07,3.100100359243087e-05,True
DDX50,644.1891567478527,0.4206602273494123,0.08269048179992172,5.087166239607162,3.634532323749146e-07,3.3046640103152044e-05,True
PDP1,503.39307842193097,1.0713592006253783,0.21111210362724706,5.074835512591159,3.8783134597939016e-07,3.4873236125854725e-05,True
NEDD4,1532.8494378588605,1.0433731159531274,0.2056086629807081,5.074558147635177,3.8839745093531646e-07,3.4873236125854725e-05,True
SNAPIN,418.08429272283007,-0.6779261519830331,0.1336501296737698,-5.072394270307116,3.928414083202159e-07,3.5053165664150446e-05,True
RASL11A,16.50296113564088,-1.4692322613054216,0.28987953507149783,-5.068423546846935,4.011240378785981e-07,3.557128350718482e-05,True
GADD45A,1929.05724626478,1.0877936967495083,0.21515322328183606,5.055902394381388,4.2836038860936623e-07,3.775352971019727e-05,True
C3orf52,159.95655837175832,0.6652629304039889,0.13162544934111092,5.0542120367615375,4.321712700747058e-07,3.785714918227575e-05,True
FLNB,13109.623395140874,0.8746784537612099,0.17326670809526273,5.048162242918058,4.460802549432976e-07,3.8838720863729775e-05,True
LAP3,833.2196893731808,0.7774141210392137,0.15410061396677543,5.044847655226258,4.5388285910236926e-07,3.928000695099179e-05,True
ETV7,47.174635848998115,2.3558843263574962,0.46763934358561027,5.037823182912339,4.7085610093942715e-07,4.0504902671232395e-05,True
IFIT5,349.5578897455908,0.9357715613528422,0.18586386079856615,5.034714964664402,4.785603775020715e-07,4.092260942377833e-05,True
TMEM97,1229.9270696730632,-0.7876607886688799,0.15655317506012256,-5.031266777990209,4.872495802809343e-07,4.141909745749054e-05,True
PAGR1,624.773251290339,-0.7122751948993787,0.14165054665990515,-5.0283970778419285,4.945968624944071e-07,4.179634427408619e-05,True
RNF19B,402.98115904474867,0.7969793011285018,0.1587406173671958,5.020638790165118,5.149992397644932e-07,4.3196493641979443e-05,True
ZSWIM4,271.7510287346983,0.684819405022355,0.13642289828261553,5.019827416389248,5.171792361423127e-07,4.3196493641979443e-05,True
TXNIP,3291.9702026912005,2.9708559548966,0.5920448411021269,5.017957675918894,5.222367810488889e-07,4.33667837950771e-05,True
HR,445.6280393231139,-0.9453507610436036,0.1889079682198316,-5.004292671993073,5.606751882599506e-07,4.629114801461178e-05,True
KLF6,2957.907509106523,0.9391497891621449,0.18814290491635827,4.991683261081027,5.98553535620606e-07,4.9136114815575e-05,True
CXCL5,14172.298431807818,1.4707177168143482,0.2948923106299908,4.987304394856524,6.122755825490613e-07,4.9449703581110454e-05,True
C21orf58,135.93785592268907,-1.084236391677938,0.21740397115753282,-4.987196811102824,6.126165048438458e-07,4.9449703581110454e-05,True
CISD3,619.9775168195572,-0.6567440682091583,0.13168670875911764,-4.987170492737271,6.12699932997192e-07,4.9449703581110454e-05,True
NRCAM,1844.577274115333,1.1471349020534818,0.23030015583378793,4.981042665387474,6.324259331305354e-07,5.075659751594007e-05,True
STARD13,156.91943029122586,0.6195916498956107,0.12442017916029278,4.979832484386471,6.363933347452097e-07,5.079125914972046e-05,True
RAB36,80.87719665341469,-0.6982032556741914,0.1402494323612151,-4.978296481628215,6.414634492979488e-07,5.086202631468179e-05,True
MXD4,605.0424334193392,-0.698892176693911,0.1404124273323875,-4.977423935842071,6.44360906951976e-07,5.086202631468179e-05,True
LOC100506178,35.55076687595429,1.1710193598181846,0.23549610248945094,4.9725636536623385,6.607326596117581e-07,5.1816432690200326e-05,True
PODXL,672.8574804425989,1.2233856886403804,0.24606963824686004,4.971705153697447,6.636658509673438e-07,5.1816432690200326e-05,True
ANKS4B,30.71260258312404,-1.9327537886801907,0.38931530710430795,-4.964494725511408,6.888015809319664e-07,5.348823519820881e-05,True
TM4SF4,510.8422504234029,-1.8571676381954108,0.3742420036775855,-4.962477808331172,6.959952075920397e-07,5.375627501218947e-05,True
TMEM87A,628.2269964698083,0.3422924377952945,0.06899439006150322,4.961163327774431,7.007223969259603e-07,5.3831967669723776e-05,True
MAPRE2,402.07198673640045,-0.45264456966269057,0.09127089294650355,-4.959352922382367,7.072837240555757e-07,5.4047010530757445e-05,True
PTAFR,447.8799733416006,1.2408103766517826,0.25056591682152235,4.952031754325189,7.344261606383484e-07,5.5824159913918065e-05,True
EPHB3,78.44828809617309,-1.6367064618377891,0.3306913467799756,-4.949347715852894,7.446261266538777e-07,5.614634374529854e-05,True
