Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Th1 and Th2 cell differentiation,0.5718291533917269,2.0040928312621666,0.0,0.00041650720036822634,0.01,18/72,9.68%,NFKB1;STAT1;STAT5A;IFNGR1;JAG1;IFNGR2;MAF;JAK1;IL4R;NFKBIA;MAML2;JAK2;IL12A;STAT4;JUN;RBPJ;NOTCH2;GATA3
prerank,Graft-versus-host disease,0.7163420316047329,2.000593911071302,0.0,0.0004026236270226188,0.01,4/24,4.44%,IL1A;IL6;IL1B;TNF
prerank,Retrograde endocannabinoid signaling,-0.5274121330376028,-1.997798637002451,0.0,0.0011551751163694107,0.006,40/100,19.41%,ADCY5;NDUFA2;NDUFB11;NDUFS7;NDUFC1;NDUFS3;NDUFAB1;NDUFS6;NDUFB7;FAAH;PLCB3;NDUFB2;NDUFA11;NDUFB10;NDUFS8;NDUFB1;NDUFB6;NDUFA3;NDUFA4;NDUFC2;NDUFB8;NDUFA7;NDUFA8;NDUFV3;GNB2;NDUFA10;NDUFA9;NDUFS5;GNAI2;ABHD6;NDUFA6;GNG11;NDUFB4;GNG5;NDUFV1;NDUFA13;NAPEPLD;ADCY1;CACNA1D;MAPK12
prerank,Amoebiasis,0.5559588994240233,1.9885156332418352,0.0,0.00042859934489504584,0.011,30/80,15.72%,CXCL3;IL6;NFKB1;CSF2;IL1B;LAMC2;TLR2;SERPINB9;PIK3CD;COL4A1;TGFB2;TNF;LAMB1;LAMA4;PTK2;IL12A;COL4A2;COL4A6;LAMC1;LAMA2;GNAL;CXCL2;RAB5A;LAMB3;PLCB1;LAMA3;COL4A4;SERPINB6;SERPINB4;FN1
prerank,Toll-like receptor signaling pathway,0.5613576625982393,1.9783361427129458,0.0,0.0005284435104671873,0.014,24/78,13.11%,IL6;NFKB1;STAT1;IFNAR2;IL1B;TLR2;CCL5;PIK3CD;AKT3;MAP3K8;TAB2;TRAF6;NFKBIA;TNF;IRF7;IL12A;JUN;MYD88;TRAF3;RIPK1;TBK1;MAPK8;CASP8;IFNAR1
prerank,Chagas disease,0.5479235052403578,1.9705264468079242,0.0,0.0005490322186672075,0.015,27/82,14.58%,IL6;NFKB1;SERPINE1;IL1B;TLR2;CFLAR;IFNGR1;CCL5;PIK3CD;AKT3;IFNGR2;TGFB2;CCL2;TRAF6;PPP2R2A;NFKBIA;TNF;IL12A;JUN;MYD88;C3;GNAL;MAPK8;CASP8;PLCB1;BDKRB2;SMAD2
prerank,Toxoplasmosis,0.5364300420428784,1.9674014499764225,0.0,0.000532884212235819,0.015,33/97,14.27%,BIRC3;NFKB1;STAT1;LAMC2;TLR2;IFNGR1;AKT3;IFNGR2;TAB2;TGFB2;JAK1;TRAF6;NFKBIA;TNF;BCL2L1;LAMB1;LAMA4;JAK2;IL12A;MYD88;LAMC1;LAMA2;HSPA1L;ITGB1;XIAP;BIRC2;MAPK8;STAT3;CASP8;IL10RB;LAMB3;LAMA3;HLA-DQA1
prerank,Legionellosis,0.5987550067407746,1.9644802727374477,0.0,0.0005176589490290813,0.015,20/53,12.40%,CXCL3;IL6;NFKB1;IL1B;TLR2;CASP7;CLK1;EEF1A1;NFKBIA;TNF;IL12A;CASP1;MYD88;BCL2L13;C3;HSPA1L;CXCL2;NFKB2;CASP8;CLK4
prerank,Parkinson disease,-0.4663041570223601,-1.9631412674426194,0.0,0.001386210139643293,0.009,103/202,25.11%,PSMB3;ADCY5;NDUFA2;NDUFB11;COX8A;UQCR11;NDUFS7;NDUFC1;PSMD3;NDUFS3;NDUFAB1;NDUFS6;NDUFB7;COX5B;COX5A;UQCRQ;CYC1;TUBB4A;VDAC3;NDUFB2;NDUFA11;NDUFB10;TUBB4B;BAX;COX6A1;NDUFS8;PSMC4;NDUFB1;NDUFB6;UQCRC1;NDUFA3;PSMD9;NDUFA4;PARK7;NDUFC2;UBE2J2;ADRM1;TXN;PSMA1;NDUFB8;PSMA7;NDUFA7;NDUFA8;NDUFV3;UBB;NDUFA10;PSMB4;TUBA1C;PSMD6;NDUFA9;PSMC3;PPIF;PSMB5;UBA52;SLC25A4;GNAS;NDUFS5;SLC25A5;GNAI2;NDUFA6;COX7C;PSMB1;CALM1;TUBB;COX7B;PSMD13;NDUFB4;SNCA;COX4I1;NDUFV1;TUBA1B;TUBA4A;NDUFA13;UQCR10;COX6B1;COX6C;TUBB3;PSMC5;SDHA;TUBB6;PSMA3;PSMB6;PSMB2;UQCRFS1;KLC2;TRAP1;UBA1;KLC4;CALM3;UQCRHL;TXN2;CALML5;PSMD2;SDHB;MAOB;HTRA2;CYCS;NDUFV2;TUBB2A;DAXX;PRKACB;PSMA4;NDUFB9
prerank,Natural killer cell mediated cytotoxicity,0.5512743771371321,1.9474603988583916,0.0,0.0005703834716153767,0.017,20/79,9.15%,ICAM1;IFNAR2;CSF2;ULBP1;IFNGR1;TNFRSF10B;TNFRSF10A;PIK3CD;FYN;VAV1;IFNGR2;TNF;RAET1L;RAC2;ULBP2;PLCG2;RAET1E;BRAF;PTK2B;SOS2
