"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903131","mononuclear cell differentiation","21/168","439/12916",0.0478359908883827,3.67767653758542,6.55263692063313,2.53852147938829e-07,1.85009863057323e-05,1.3220670762328e-05,"CSF2/DHRS2/IFI16/IKZF3/IL1A/IL1B/IL6/IL7R/INHBA/IRF7/LIF/NFKBIZ/NLRP3/PRDM1/RASGRP1/RUNX2/TLR2/TNFRSF9/TSPAN2/VEGFA/VNN1",21
"GO:0030198","extracellular matrix organization","16/168","259/12916",0.0617760617760618,4.74940246368818,6.99724968300391,2.60848976865128e-07,1.85688073996315e-05,1.32691352246202e-05,"ABI3BP/COL4A1/ECM2/FAP/GREM1/IL6/ITGA2/ITGB3/LOX/MMP1/MMP10/MMP13/PHLDB2/PTX3/TNF/TNFRSF1B",16
"GO:0043062","extracellular structure organization","16/168","260/12916",0.0615384615384615,4.73113553113553,6.97686443479166,2.74850975264074e-07,1.8742027476544e-05,1.33929170364891e-05,"ABI3BP/COL4A1/ECM2/FAP/GREM1/IL6/ITGA2/ITGB3/LOX/MMP1/MMP10/MMP13/PHLDB2/PTX3/TNF/TNFRSF1B",16
"GO:0070372","regulation of ERK1 and ERK2 cascade","15/168","228/12916",0.0657894736842105,5.05795739348371,7.0967440133826,2.80459527402428e-07,1.8742027476544e-05,1.33929170364891e-05,"AKAP12/BMPER/FGF19/GBP1/ICAM1/IL1A/IL1B/INHBA/ITGB3/LIF/PDGFB/RASGRP1/SEMA7A/TNF/VEGFA",15
"GO:0045229","external encapsulating structure organization","16/168","261/12916",0.0613026819923372,4.71300857507754,6.95658265926832,2.89531777424511e-07,1.8742027476544e-05,1.33929170364891e-05,"ABI3BP/COL4A1/ECM2/FAP/GREM1/IL6/ITGA2/ITGB3/LOX/MMP1/MMP10/MMP13/PHLDB2/PTX3/TNF/TNFRSF1B",16
"GO:0060326","cell chemotaxis","15/168","229/12916",0.0655021834061135,5.03587024329382,7.07385714037118,2.96765802814738e-07,1.8742027476544e-05,1.33929170364891e-05,"CCL20/CCL5/CXCL3/CXCL5/CXCL6/GREM1/HBEGF/IL1B/IL6/LOX/PDGFB/SERPINE1/TNFAIP6/TREM1/VEGFA",15
"GO:0002250","adaptive immune response","18/168","331/12916",0.054380664652568,4.18083728959862,6.72991625035639,3.03024996499956e-07,1.8742027476544e-05,1.33929170364891e-05,"C1R/C1S/CD274/ICAM1/IL1B/IL6/IL7R/IRF7/LAMP3/NFKBIZ/NLRP3/PRDM1/RAET1L/TNF/TNFAIP3/TNFRSF1B/TREM1/ULBP1",18
"GO:0016032","viral process","18/168","331/12916",0.054380664652568,4.18083728959862,6.72991625035639,3.03024996499956e-07,1.8742027476544e-05,1.33929170364891e-05,"APOBEC3G/CCL5/GBP5/ICAM1/IFI16/IFIH1/IFIT1/IRF7/ITGA2/ITGB3/LAMP3/MX1/OAS1/OAS3/PARP9/PTX3/STAT1/TNF",18
"GO:0050900","leukocyte migration","17/168","296/12916",0.0574324324324324,4.4154601029601,6.82411305805795,3.06142232547272e-07,1.8742027476544e-05,1.33929170364891e-05,"CCL20/CCL5/CXCL3/CXCL5/CXCL6/GREM1/ICAM1/IL1B/IL6/ITGA2/ITGB3/PDGFB/SERPINE1/TNF/TNFAIP6/TREM1/VEGFA",17
"GO:0061041","regulation of wound healing","11/168","117/12916",0.094017094017094,7.22812372812373,7.76860360003251,3.42777538738746e-07,2.05733734525353e-05,1.47015836016329e-05,"C1QTNF1/DUOX2/FAP/HBEGF/PDGFB/PHLDB2/PLAT/PLAU/SERPINE1/TNF/TNFAIP3",11
