"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"MXD4",605.042433419339,-0.651568506492605,0.143677200142216,6.23830115287424e-07,5.14995237647226e-05,TRUE
"STARD13",156.919430291226,0.578815176936479,0.129262917066575,6.29029026665416e-07,5.16510198098795e-05,TRUE
"TMEM87A",628.226996469808,0.32966965947836,0.0685954537645822,6.55394856475644e-07,5.2979790812495e-05,TRUE
"RAB36",80.8771966534147,-0.654945640501417,0.142259902945926,6.55562374104465e-07,5.2979790812495e-05,TRUE
"PODXL",672.857480442599,1.12687868494655,0.250206043793447,6.5377054010675e-07,5.2979790812495e-05,TRUE
"SAA4",4.11973615475172,2.51519520831217,0.53691582926559,6.61558667385912e-07,5.31844677367051e-05,TRUE
"MAPRE2",402.0719867364,-0.429862693075717,0.0913729760130137,6.75884119224397e-07,5.40531283890136e-05,TRUE
"PTAFR",447.879973341601,1.12395880067058,0.280423548014586,7.22504951675599e-07,5.72184390640025e-05,TRUE
"IFNGR1",844.074114758375,0.731730833373423,0.163032387260038,7.22916130147606e-07,5.72184390640025e-05,TRUE
"TARS",3180.30917930263,0.413352685530087,0.089159135220986,7.46630677404175e-07,5.84924186303118e-05,TRUE
"LOC100506178",35.5507668759543,1.12424752495074,0.247322646255693,7.44883973760843e-07,5.84924186303118e-05,TRUE
"CCDC34",401.068594139934,-0.946318871655115,0.215440722742519,7.77156915916656e-07,5.99660524819108e-05,TRUE
"ANKRD54",297.907288073486,-0.761235330408573,0.170863876869712,7.76982248738363e-07,5.99660524819108e-05,TRUE
"EPHB3",78.4482880961731,-1.48634645006223,0.362066943203884,7.73207827318851e-07,5.99660524819108e-05,TRUE
"OBSL1",593.146501319679,-0.628431911502233,0.138603529861902,7.84989093388841e-07,6.02675376449283e-05,TRUE
"ANXA3",2931.72616678286,0.555888833756769,0.122447990650711,7.94478752162524e-07,6.0692642982366e-05,TRUE
"APOL6",446.598410834251,1.11742395224548,0.285098781910129,8.7540119008986e-07,6.65434914546029e-05,TRUE
"EIF2AK2",778.937221484775,0.887700762426053,0.212247593818205,8.8961566550141e-07,6.7290879525981e-05,TRUE
"TUFT1",889.850314251007,0.86618328730075,0.208814480978864,8.94322404365531e-07,6.73152966619251e-05,TRUE
